primary_key,match_key,date,time_of_day,name_team_A,name_team_B,gametime,score_team_A,score_team_B,odd_win_team_A,odd_draw,odd_win_team_B,prob_win_team_A,prob_draw,prob_win_team_B
Phrae_United_versus_Ayutthaya_United_time_2024-04-20 14:30:14,Phrae_United_versus_Ayutthaya_United,2024-04-20,14:30:14,Phrae United,Ayutthaya United,90'+7,0,1,250.0,25.0,1.0,0.0038314,0.038314,0.95785
Bandirmaspor_versus_Tuzlaspor_time_2024-04-20 14:30:14,Bandirmaspor_versus_Tuzlaspor,2024-04-20,14:30:14,Bandirmaspor,Tuzlaspor,90'+1,1,1,6.0,1.22,9.0,0.15186666666666668,0.7468852459016394,0.10124444444444444
Ethio_Electric_SC_versus_Oromia_Police_Fc_time_2024-04-20 14:30:14,Ethio_Electric_SC_versus_Oromia_Police_Fc,2024-04-20,14:30:14,Ethio Electric SC,Oromia Police Fc,78',1,0,1.04,8.0,45.0,0.8672211538461538,0.11273875,0.020042444444444443
Skövde_AIK_versus_Trelleborgs_FF_time_2024-04-20 14:30:14,Skövde_AIK_versus_Trelleborgs_FF,2024-04-20,14:30:14,Skövde AIK,Trelleborgs FF,74',1,0,1.27,4.0,14.0,0.7101181102362205,0.2254625,0.06441785714285715
FC_Rosengaard_1917_versus_Onsala_BK_time_2024-04-20 14:30:14,FC_Rosengaard_1917_versus_Onsala_BK,2024-04-20,14:30:14,FC Rosengaard 1917,Onsala BK,72',1,1,2.4,1.9,6.0,0.37549583333333336,0.4743105263157895,0.15019833333333335
Pattaya_United_FC_versus_Chanthaburi_time_2024-04-20 14:30:14,Pattaya_United_FC_versus_Chanthaburi,2024-04-20,14:30:14,Pattaya United FC,Chanthaburi,72',2,1,1.12,6.0,35.0,0.8205714285714285,0.15317333333333333,0.026258285714285713
Roea_(F)_versus_Vålerenga_(F)_time_2024-04-20 14:30:14,Roea_(F)_versus_Vålerenga_(F),2024-04-20,14:30:14,Roea (F),Vålerenga (F),71',0,2,80.0,20.0,1.0,0.011764750000000001,0.047059000000000004,0.94118
FC_Hirnyk-Sport_versus_Podillya_Khemlnitskiy_time_2024-04-20 14:30:14,FC_Hirnyk-Sport_versus_Podillya_Khemlnitskiy,2024-04-20,14:30:14,FC Hirnyk-Sport,Podillya Khemlnitskiy,71',1,0,1.45,3.4,8.0,0.622,0.26526470588235296,0.1127375
Istanbulspor_AS_versus_Fatih_Karagümrük_time_2024-04-20 14:30:41,Istanbulspor_AS_versus_Fatih_Karagümrük,2024-04-20,14:30:41,Istanbulspor AS,Fatih Karagümrük,88',1,1,13.0,1.4,3.6,0.07195923076923078,0.6681928571428573,0.25985277777777777
1._FC_Kaiserslautern_versus_SV_Wehen_Wies._time_2024-04-20 14:30:41,1._FC_Kaiserslautern_versus_SV_Wehen_Wies.,2024-04-20,14:30:41,1. FC Kaiserslautern,SV Wehen Wies.,72',1,0,1.18,5.0,20.0,0.7722033898305085,0.18224,0.04556
Fortuna_Düsseldorf_versus_Greuther_Fürth_time_2024-04-20 14:30:41,Fortuna_Düsseldorf_versus_Greuther_Fürth,2024-04-20,14:30:41,Fortuna Düsseldorf,Greuther Fürth,71',1,0,1.16,5.5,22.0,0.7913706896551724,0.1669072727272727,0.04172681818181818
VfL_1899_Osnabrück_versus_Eintr._Braunschweig_time_2024-04-20 14:30:41,VfL_1899_Osnabrück_versus_Eintr._Braunschweig,2024-04-20,14:30:41,VfL 1899 Osnabrück,Eintr. Braunschweig,69',0,3,200.0,50.0,1.0,0.00487805,0.0195122,0.97561
Erzgebirge_Aue_versus_SpVgg_Unterhaching_time_2024-04-20 14:30:41,Erzgebirge_Aue_versus_SpVgg_Unterhaching,2024-04-20,14:30:41,Erzgebirge Aue,SpVgg Unterhaching,30',0,0,1.95,3.1,3.8,0.4668102564102564,0.29363870967741934,0.23954736842105265
Hallescher_FC_versus_SC_Verl_time_2024-04-20 14:30:41,Hallescher_FC_versus_SC_Verl,2024-04-20,14:30:41,Hallescher FC,SC Verl,30',0,0,2.2,2.9,3.4,0.41568181818181815,0.3153448275862069,0.26897058823529413
